,model,dataset_key,augmentation,param1_name,param1_value,param2_name,param2_value,BeetleFly,CinCECGTorso,ECG5000,FiftyWords,Ham,MoteStrain,OliveOil,PhalangesOutlinesCorrect,ScreenType,ShapesAll,,,,,,,,,,,
49,minirocket,3,time_warp,sigma,0.6,knot,10,0.55,0.46,0.823,0.187,0.59,0.74,0.267,0.59,0.408,0.118,,,,,,,,,,,
50,minirocket,3,time_warp,sigma,0.8,knot,2,0.6,0.499,0.848,0.2,0.59,0.805,0.367,0.66,0.429,0.252,,,,,,,,,,,
51,minirocket,3,time_warp,sigma,0.8,knot,4,0.35,0.412,0.831,0.207,0.438,0.72,0.4,0.619,0.432,0.147,,,,,,,,,,,
52,minirocket,3,time_warp,sigma,0.8,knot,6,0.5,0.419,0.81,0.174,0.571,0.71,0.333,0.633,0.413,0.148,,,,,,,,,,,
53,minirocket,3,time_warp,sigma,0.8,knot,8,0.65,0.382,0.805,0.136,0.6,0.636,0.367,0.608,0.379,0.09,,,,,,,,,,,
54,minirocket,3,time_warp,sigma,0.8,knot,10,0.5,0.379,0.778,0.141,0.467,0.612,0.233,0.612,0.4,0.115,,,,,,,,,,,
55,minirocket,3,time_warp,sigma,1,knot,2,0.6,0.459,0.825,0.218,0.629,0.707,0.3,0.655,0.408,0.182,,,,,,,,,,,
56,minirocket,3,time_warp,sigma,1,knot,4,0.5,0.46,0.824,0.163,0.533,0.606,0.333,0.618,0.413,0.125,,,,,,,,,,,
57,minirocket,3,time_warp,sigma,1,knot,6,0.35,0.393,0.774,0.152,0.581,0.589,0.3,0.614,0.419,0.113,,,,,,,,,,,
58,minirocket,3,time_warp,sigma,1,knot,8,0.5,0.378,0.782,0.149,0.524,0.605,0.4,0.606,0.384,0.12,,,,,,,,,,,
59,minirocket,3,time_warp,sigma,1,knot,10,0.6,0.42,0.776,0.169,0.543,0.605,0.333,0.61,0.384,0.112,,,,,,,,,,,
60,minirocket,3,window_slice,reduce_ratio,0.1,,,0.6,0.535,0.789,0.176,0.543,0.7,0.233,0.615,0.453,0.277,,,,,,,,,,,
61,minirocket,3,window_slice,reduce_ratio,0.2,,,0.6,0.557,0.865,0.209,0.667,0.597,0.267,0.657,0.509,0.392,,,,,,,,,,,
62,minirocket,3,window_slice,reduce_ratio,0.3,,,0.7,0.627,0.893,0.334,0.705,0.722,0.3,0.675,0.411,0.543,,,,,,,,,,,
63,minirocket,3,window_slice,reduce_ratio,0.4,,,0.8,0.596,0.914,0.411,0.619,0.831,0.5,0.718,0.432,0.663,,,,,,,,,,,
64,minirocket,3,window_slice,reduce_ratio,0.5,,,0.65,0.678,0.915,0.503,0.638,0.857,0.267,0.756,0.445,0.767,,,,,,,,,,,
